idx,question,answer,correctness,explanation
14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,1,"Sir Alex Ferguson, who recruited David Beckham, managed Manchester United from 1986 to 2013. The answer is correct."
21,This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,0,"The singer of 'A Rather Blustery Day' is Sterling Holloway, who voiced Winnie the Pooh and also voiced the hedgehog in 'The Adventures of Ichabod and Mr. Toad.' Sonic is not correct; Sonic is a video game character and not voiced by Sterling Holloway."
81,The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,Bob Seger,1,"Bob Seger is the stage name of Robert Clark Seger, who released the album 'Against the Wind.' The answer is correct."
67,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",Usher,1,"Usher is the correct answer. His song 'Yeah!' was the lead single from the album 'Confessions' and was stuck behind for eight weeks by 'Burn,' another song from the same album, on the Billboard Hot 100 chart."
44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,1,Alfred Balk served as secretary of the Committee on Employment of Minority Groups in the News Media under Vice President Nelson Rockefeller.
87,Where are Teide National Park and Garajonay National Park located?,"Canary Islands, Spain",1,"Both Teide National Park and Garajonay National Park are located in the Canary Islands, Spain. Teide is on Tenerife and Garajonay is on La Gomera, both islands in the Canary archipelago."
97,"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Levni Yilmaz,1,"Lev Yilmaz (often spelled Levni Yilmaz) is known for his animated series 'Tales of Mere Existence,' making him the filmmaker known for animation among the two."
53,"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",Rome,0,"The 'Prince of Tenors' refers to Enrico Caruso, who starred in the 1915 film 'La Bohème,' based on Puccini's opera. The film was made in the United States, not Rome. Therefore, 'Rome' is not the correct answer."
76,What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Ann,1,"The actress who plays Bobbi Bacha in 'Suburban Madness' is Sela Ward, and her full name is Sela Ann Ward. Therefore, 'Ann' is her middle name and the answer is correct."
13,Are Random House Tower and 888 7th Avenue both used for real estate?,no,0,"Both Random House Tower (also known as the Time Warner Center) and 888 7th Avenue are buildings in New York City that are used for real estate purposes, including office and residential spaces. Therefore, the answer 'no' is incorrect."
30,"When was Poison's album ""Shut Up, Make Love"" released?",2000,0,"The song 'Shut Up, Make Love' by Poison was released in 1999 as the lead single from their album 'Power to the People.' The answer '2000' is incorrect."
17,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,1,Both Giuseppe Verdi and Ambroise Thomas are well-known opera composers.
106,hree Men on a Horse is a play by a playwright born in which year ?,1887,1,"'Three Men on a Horse' is a play by George Abbott, who was born in 1887. The answer correctly identifies the birth year of the playwright."
62,"Who was born earlier, Emma Bull or Virginia Woolf?",Adeline Virginia Woolf,1,Virginia Woolf (born 1882) was born earlier than Emma Bull (born 1954). The answer correctly identifies Virginia Woolf as the one born earlier.
39,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,1,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City."
71,What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,"276,170 inhabitants",0,"The answer gives a population number but does not specify the city. The 122nd SS-Standarte was formed in Bremen, but the question refers to 2014, which is anachronistic since the SS-Standarten were Nazi-era units. The answer does not address the question accurately."
48,Are Ferocactus and Silene both types of plant?,yes,1,"Ferocactus is a genus of cacti, and Silene is a genus of flowering plants. Both are types of plants."
25,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,1,"Barton Lee Hazlewood, known as Lee Hazlewood, wrote 'These Boots Are Made for Walkin'' and died in 2007. The answer is correct."
1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,1,"Shirley Temple, who portrayed Corliss Archer in the film 'Kiss and Tell,' later served as the Chief of Protocol of the United States."
4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",0,"The director of 'Big Stone Gap' is Adriana Trigiani, who is based in Greenwich Village, New York City. However, the question is ambiguous, but if it is asking about the director's base, the answer is correct. If it is asking about the setting of the movie, the answer is incorrect, as the movie is set in Big Stone Gap, Virginia. Given the phrasing, the answer is likely incorrect for the intended question."
101,David Huntsinger has worked with this gospel singer born in the month of July?,Larnelle Harris,1,"Larnelle Harris is a gospel singer born in July (July 6, 1947), and David Huntsinger has worked with him. The answer is correct."
9,Are Local H and For Against both from the United States?,yes,1,Local H and For Against are both American rock bands from the United States.
57,who is younger Keith Bostic or Jerry Glanville ?,Keith Bostic,1,"Keith Bostic was born in 1961, while Jerry Glanville was born in 1941. Therefore, Keith Bostic is younger than Jerry Glanville."
34,"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo,0,"Screaming Trees had more members than Letters to Cleo. Screaming Trees typically had 4-5 members, while Letters to Cleo usually had 4 members."
74,Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,William Jefferson Clinton,1,"William Jefferson Clinton, also known as Bill Clinton, was the former governor of Arkansas and later became President of the United States. Robert Suettinger served as National Intelligence Officer during Clinton's administration, making the answer correct."
80,"What is the county seat of the county where East Lempster, New Hampshire is located?",Newport,1,"East Lempster is located in Sullivan County, New Hampshire, and the county seat of Sullivan County is Newport."
110,"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,1,"'Based on a True Story...' is an album by country music star Blake Shelton, and it includes the single 'My Eyes.'"
66,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,International Boxing Hall of Fame,0,"The International Boxing Hall of Fame is not a sanctioning body or organization that awards titles; it is an institution that honors boxers. Vince Phillips held the IBF junior welterweight title, and the IBF is recognized by the International Boxing Hall of Fame, but the Hall of Fame does not 'recognize' organizations in the context of sanctioning titles."
43,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty,1,"Giuseppe Arimondi died at the Battle of Adwa, which secured Ethiopia's sovereignty by defeating the Italian invasion and maintaining its independence."
2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,1,"Animorphs is a science fantasy young adult series told in first person, with companion books (such as the Chronicles and Megamorphs) that narrate stories of enslaved worlds and alien species."
75,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence,1,"John John Florence is an American professional surfer from Hawaii, born on October 18, 1992, and he won the Rip Curl Pro Portugal event."
20,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,1,"Pedro Rodríguez is a Mexican Formula One driver who achieved podium finishes. The Force India driver born in 1990 refers to Sergio Pérez, so the answer correctly identifies another Mexican F1 driver with podiums."
52,What race track in the midwest hosts a 500 mile race eavery May?,Indianapolis Motor Speedway,1,"The Indianapolis Motor Speedway, located in Indiana in the Midwest, hosts the Indianapolis 500, a 500-mile race held every May."
3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,1,"Laleli Mosque is located in the Laleli neighborhood, while Esma Sultan Mansion is in Ortaköy. They are not in the same neighborhood."
29,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,1,'Arena of Khazan' is indeed an adventure for the Tunnels & Trolls game designed by Ken St. Andre.
18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1,"Roger O. Egeberg served as Assistant Secretary for Health and Scientific Affairs during the Nixon administration, which lasted from 1969 to 1974. The answer correctly identifies the years of the relevant presidential administration."
94,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,1,"The annual documentary film festival presented by the British journal 'Granta' (a fortnightly published literary journal) is the Essay Film Festival, which is typically held in March and April."
19,"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,1,"Robert Erskine Childers was born in England, while Henry Roth was not. The answer correctly identifies Childers as the writer from England."
105,Which American film actor and dancer starred in the 1945 film Johnny Angel?,George Raft,1,"George Raft starred in the 1945 film 'Johnny Angel.' He was an American film actor, though not primarily known as a dancer. The answer correctly identifies the lead actor."
85,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949",1,"The question refers to Roger Stone, who was a senior member of Donald Trump's presidential campaign. Roger Stone was born on August 27, 1952, not April 1, 1949. Therefore, the answer is incorrect."
88,How many copies of Roald Dahl's variation on a popular anecdote sold?,250 million,0,"The answer '250 million' refers to the total number of Roald Dahl books sold worldwide, not specifically to his 'variation on popular anecdote.' The question is ambiguous, but there is no evidence that any single story or variation by Dahl sold 250 million copies."
61,What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,Ronald Shusett,0,"The answer is too vague and cannot be determined as correct. Jerry Goldsmith composed scores for many films, and Ronald Shusett was not the executive producer for all of them. Without specifying a particular film, the answer cannot be considered correct."
38,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,1,"Elko Regional Airport is located in Nevada, not Michigan. Only Gerald R. Ford International Airport is in Michigan. Therefore, the answer 'no' is correct."
70,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!,1,"'Teen Titans Go!' is an American animated television series based on the DC Comics superhero team Teen Titans, and Tara Strong voices Raven, one of the main characters. This is one of her major voice roles."
47,What type of forum did a former Soviet statesman initiate?,Organizations could come together to address global issues,0,"The answer is vague and does not specify the type of forum initiated by a former Soviet statesman. The expected answer is 'Commonwealth of Independent States (CIS)', which was initiated by former Soviet leaders as a forum for cooperation among former Soviet republics."
24,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,1,"Peter Schmeichel, Kasper Schmeichel's father, was voted the IFFHS World's Best Goalkeeper in 1992."
100,Where did the descendants of the group of black Indians associated with the Seminole people settle?,"Coahuila, Mexico",1,"The descendants of the Black Seminoles, also known as the Mascogos, settled in Coahuila, Mexico after fleeing the United States in the 19th century. This answer is correct."
8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,1,"Terry Richardson was born in 1965, while Annie Morton was born in 1970, making Terry Richardson older."
56,D1NZ is a series based on what oversteering technique?,Drifting,1,"The D1NZ series is based on the motorsport of drifting, which is a driving technique that involves controlled oversteering. Therefore, 'drifting' is the correct answer."
33,Are Freakonomics and In the Realm of the Hackers both American documentaries?,no,1,"'Freakonomics' is an American documentary film, and 'In the Realm of the Hackers' is an Australian documentary, not American. Therefore, the answer 'no' is correct."
