idx,question,answer,correctness,explanation
307,"What prolific English engineer, who died on 15 December 1857, contributed to the advent of the hot air engine by way of their open cycle devices?",George Cayley,1,
2391,BOTH Skyang Kangri and Pumari Chhish are both what?,subrange of the Karakoram range,0,"Skyang Kangri and Pumari Chhish are both individual mountains (peaks), not subranges of the Karakoram range."
3162,"What state is home to the Lake Wobegon Trails and the recording location for the live radio show ""A Prairie Home Companion""?",Minnesota,1,
1001,Nicolau Colaco played as a defender in the men's professional league sponsored by which company?,Hero,1,
1569,When did the the Antonine who was known as the third of the five good emperors live?,24 January 76 – 10 July 138,1,
2681,When was the album released that The Red Tour supported?,"October 22, 2012",1,
509,"Who collaborated with Rihanna on the album release ""Numb""?",Eminem,0,"Eminem collaborated with Rihanna on the song 'Numb' from her album 'Unapologetic,' not on an album release called 'Numb.' The answer should specify the song, not an album."
150,What occupation was shared by David Yates and Pietro Germi?,director,1,
2378,"How does this series represent a function, which is also used in the Homotopy analysis method?",infinite sum of terms,0,"The answer 'infinite sum of terms' is too vague and does not specify which function or series is being referred to. In the context of the homotopy analysis method, the series typically represents the solution to a differential equation as a power series or similar expansion, not just any 'infinite sum of terms.'"
1070,What writer worked on both The Ice Cream Man and and a 2007 fantasy comedy loosely based on a Donald Henkel poem?,David Dobkin,0,"David Dobkin is a film director and writer, but he did not work on 'Ice Cream Man' (a 1995 horror film) nor is he associated with a 2007 fantasy comedy based on a Donald Henkel poem. The 2007 film 'Mr. Magorium's Wonder Emporium' is loosely based on a poem by Donald Henkel, but it was written and directed by Zach Helm, not David Dobkin."
1160,Kang Sung-yeon played Prince Yeonsan in a film that runs for how many minutes ?,119 minutes,1,
829,"In what country was the actor Chris Hemsworth, one of the stars in the motion picture Thor: The Dark World, born?",Australian,0,"The answer should be the name of a country, 'Australia', not the adjective 'Australian'."
2576,What singer who was the seventh place finalist on the 7th season of American Idol first recorded the song Like My Mother Does,Kristy Lee Cook,0,"Kristy Lee Cook was the seventh place finalist on season 7 of American Idol, but the first singer to record 'Like My Mother Does' was actually Kristy Lee Cook, so the answer is correct. However, the song is more famously associated with Lauren Alaina from season 10. Still, the answer matches the question's criteria."
1533,Which president of Botswana did Naomi Jacobson immortalize as a statue?,Seretse Khama,1,
1181,The 2015 Austrian thriller film Jack tells the story of a serial killer who died in what year?,1994,1,
3126,The city that hosted the Olympics where Taiwan competed as Chinese Taipei is situated at the confluence of what two rivers?,Bow River and the Elbow River,0,"The city where Taiwan first competed as 'Chinese Taipei' was Calgary, which hosted the 1988 Winter Olympics. Calgary is situated at the confluence of the Bow and Elbow Rivers, so the answer is correct for Calgary. However, the first Olympics where Taiwan competed as 'Chinese Taipei' was the 1984 Summer Olympics in Los Angeles, which is not at the confluence of these rivers. The question is ambiguous, but if referring to Calgary, the answer is correct. If referring to the first instance, it is incorrect. Given the ambiguity, but since Calgary is a valid answer, the answer can be considered correct."
