Model,Score,Status,File_Path,Task,Metric,Timestamp
allenai/OLMo-2-0425-1B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
Qwen/Qwen2.5-0.5B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
Qwen/Qwen2.5-1.5B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
meta-llama/Llama-3.2-1B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
Qwen/Qwen2.5-3B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
meta-llama/Llama-3.2-3B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
allenai/OLMo-2-1124-7B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
Qwen/Qwen2.5-7B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
meta-llama/Llama-3.1-8B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
allenai/OLMo-2-1124-13B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
Qwen/Qwen2.5-14B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
allenai/OLMo-2-0325-32B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
Qwen/Qwen2.5-32B,,not_found,,community|hotpotqa,entailment_exact_hotpotqa,latest
